Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Calorias (kJ),Categoria,Subcategoria,Festas
Achocolatado light Toddy ®,1 colher de sopa,10,8,36,151,,,
Achocolatado tradicional Nescau ®,1 colher de sopa,10,9,37,155,,,
Achocolatado tradicional Toddy ®,1 colher de sopa,10,9,40,167,,,
Açúcar branco refinado,1 colher de sopa cheia,30,30,116,485,,,
Açúcar cristal,1 colher de sopa cheia,24,24,96,402,,,
Açúcar de coco,1 colher de chá,5,5,19,79,,,
Açúcar mascavo,1 colher de sopa cheia,19,17,70,293,,,
Agrião (picado),1 colher de sopa cheia,7,0,2,8,,,
Agrião refogado,1 colher de sopa cheia,25,1,19,79,,,
Água de coco industrializada Sococo ®,1 copo,200,11,44,184,,,
Água tônica Antarctica ®,1 lata,350,17,73,305,,,
Água tônica zero Antarctica ®,1 lata,350,0,0,0,,,
Água-de-coco verde,1 copo,200,11,44,184,,,
Água-de-coco verde,1 copo duplo,240,10,43,180,,,
Aipim cozido,1 pedaço médio,100,29,120,502,,,
Aipim cozido (macaxeira ou mandioca),1 pedaço grande,100,30,120,502,,,
Aipim frito (macaxeira ou mandioca),1 pedaço grande,100,50,304,1272,,,
Aipo inteiro (picado),1 colher de sopa cheia,10,0,2,8,,,
Alcachofra,1 pedaco médio,20,1,6,25,,,
Alcaparra,1 colher de sopa cheia,27,1,10,42,,,
"Alface, americana, crua",1 folha média,10,0,1,4,,,
"Alface, crespa, crua",1 folha média,10,0,1,4,,,
"Alface, lisa, crua",1 folha média,10,0,1,4,,,
"Alface, roxa, crua",1 folha média,10,0,1,4,,,
Alfajor ao leite Cacau Show ®,1 unidade,40,23,120,502,,,
Alfajor ao leite Cacau Show®,1 unidade,40,23,120,502,,,
Alfajor recheado com doce de leite,1 unidade,25,15,98,410,,,
Alfajor recheado com doce de leite Brasil Cacau ®,1 unidade,25,15,98,410,,,
Alfajor® recheado com doce de leite,1 unidade,25,15,98,410,,,
Alfavaca crua,1 folha média,10,0,3,13,,,
Algodão Doce,1 unidade,30,30,116,485,,,
Algodão doce (Mavalério),1 embalagem,35,35,140,586,,,
Algodão doce (Mavalério®),1 embalagem,35,35,140,586,,,
Algodão doce tuti - frutti Snow Sugar®,1/2 chícara de chá,5,5,20,84,,,
Algodão doce tutti - frutti Snow Sugar ®,1/2 xícara de chá,5,5,20,84,,,
Algodão doce uva Snow Sugar ®,1/2 xícara de chá,5,5,20,84,,,
Algodão doce uva Snow Sugar®,1/2 chícara de chá,5,5,20,84,,,
Alho-poró cru,1 porção pequena,20,3,11,46,,,
"Alho, cru",2 dentes,10,3,11,46,,,
All bran,1 colher de sopa cheia,9,4,23,96,,,
Almeirão cru (picado),1 colher de sopa cheia,10,0,0,0,,,
Almôndega,1 unidade média,50,4,102,427,,,
Ambrosia,2 colheres de sopa cheias,80,33,207,866,,,
Ameixa de queijo,1 unidade,12,7,36,151,,,
Ameixa em calda,1 unidade média,7,5,20,84,,,
Ameixa preta fresca,1 unidade media,42,4,18,75,,,
Ameixa preta fresca,1 unidade média,42,4,18,75,,,
Ameixa preta seca,1 unidade média,5,2,9,38,,,
Ameixa vermelha,1 unidade média,5,2,9,38,,,
Ameixa-preta em calda,3 unidades,20,5,21,88,,,
"Ameixa, passa de",1 colher de sopa cheia,15,10,44,184,,,
Amêndoa,1 unidade média,3,1,13,54,,,
Amendoim caramelizado,1 pacote pequeno,20,14,95,397,,,
Amendoim cozido,2 colheres de sopa,34,7,108,452,,,
"Amendoim, grão, cru",2 colheres de sopa,34,5,194,812,,,
"Amendoim, torrado, salgado",2 colheres de sopa,34,5,194,812,,,
Amido de arroz,1 colher de sopa cheia,20,17,70,293,,,
Amido de milho,1 colher de sopa cheia,20,17,69,289,,,
"Amora (branca, preta e vermelha)",1 unidade média,8,1,5,21,,,
"Amora, geléia de",1 colher de sopa cheia,40,23,93,389,,,
Angu,1 colher de sopa cheia,35,9,44,184,,,
Angus bacon (Mc’Donalds®),1 unidade,,57,861,3602,,,
Angus DeLuxe (Mc’Donalds®),1 unidade,,56,863,3611,,,
Antepasto abobrinha escabeche,1 colher de sopa cheia,30,4,57,238,,,
Antepasto alichella,1 colher de sopa cheia,30,1,106,444,,,
Antepasto berinjela,1 colher de sopa cheia,30,4,88,368,,,
Antepasto sardella,1 colher de sopa cheia,30,5,160,669,,,
Apfelstrudel (folhado de maçã),1 porção grande,220,59,396,1657,,,
Apfelstrudell (folheado de maçã),1 porção grande,220,59,396,1657,,,
Apfelstrudell® (folheado de maçã),1 porção grande,220,59,396,1657,,,
Apresuntado,1 fatia média,15,0,69,289,,,
Araçá,1 colher de sopa cheia,20,3,12,50,,,
Arroz à grega,1 colher de servir,60,18,75,314,,,
Arroz à grega,1 colher de sopa cheia,25,7,35,146,,,
Arroz branco cozido,1 colher de servir arroz,45,15,74,310,,,
Arroz branco cozido,1 colher de servir arroz,45,13,58,243,,,
Arroz branco cozido,1 colher de sopa cheia,20,6,26,109,,,
Arroz branco cozido,1 colher de sopa cheia,20,5,26,109,,,
Arroz carreteiro,1 colher de servir,45,5,70,293,,,
Arroz com amendoas,1 colher de servir,60,18,75,314,,,
Arroz com amêndoas,1 colher de servir,60,18,75,314,,,
Arroz com galinha,1 colher de sopa cheia,25,6,45,188,,,
Arroz com lentilha,1 colher de servir arroz,45,12,71,297,,,
Arroz com lingüiça,3 colheres de arroz cheias,180,36,349,1460,,,
Arroz com pequi,3 colheres de arroz cheias,180,50,292,1222,,,
Arroz integral cozido,1 colher de sopa cheia,20,5,25,105,,,
Arroz selvagem Tio João,2 colheres de sopa cheias,50,35,170,711,,,
Arroz selvagem Tio João®,2 colheres de sopa cheias,50,35,170,711,,,
Arroz sírio,1 colher de servir arroz,45,13,69,289,,,
Arroz-doce,1 colher de sopa cheia,40,13,66,276,,,
"Arroz, farinha de",1 colher de sopa cheia,17,14,62,259,,,
"Arroz, flocos de",1 colher de sopa cheia,14,11,49,205,,,
Aspargo em conserva,1 unidade média,7,0,2,8,,,
Ata (fruta do conde),1 unidade média,60,9,41,172,,,
Ataif,1 porção,100,13,124,519,,,
Atum em água,1 colher de sopa cheia,16,0,45,188,,,
Aveia em flocos crua,1 colher de sopa cheia,15,10,56,234,,,
"Aveia, farinha de (crua)",1 colher de sopa cheia,18,12,71,297,,,
"Aveia, flocos cozidos de",1 colher de sopa cheia,15,2,9,38,,,
Avelã,1 unidade média,1,0,6,25,,,
Azeite de dendê industrializado,1 colher de sopa cheia,8,0,71,297,,,
Azeite de oliva (extra),1 colher de sopa cheia,8,0,72,301,,,
Azeitona preta (parte comest.),1 unidade média,3,0,7,29,,,
Azeitona verde (parte comest.),1 unidade média,4,0,12,50,,,
Baba de moça,1 colher de sopa cheia,30,27,150,628,,,
Babaganuche,1 porção,100,6,84,351,,,
Bacaba,1 copo pequeno,150,10,320,1339,,,
Bacalhau cozido,1 escumadeira média,60,0,88,368,,,
Bacalhoada,1 colher de sopa,30,2,51,213,,,
Bacallhau cozido,1 escumadeira média,60,0,88,368,,,
Bacon,1 fatia média,15,0,99,414,,,
Bacon (Baked Potato®),1 concha,20,0,92,385,,,
Bacon Baked Potato ®,1 concha,20,0,92,385,,,
Bacuri,1 polpa de 1 fruto médio,90,0,870,3640,,,
Bacuri,1 unidade média (polpa),90,0,870,3640,,,
Baguete congelada Qualitá ®,1 unidade pequena,50,25,124,519,,,
Baguete congelada Qualita®,1 unidade pequena,50,25,124,519,,,
Baião de dois,1 escumadeira cheia,100,20,136,569,,,
Bala 7 belo ®,1 unidade,5,4,20,84,,,
Bala de banana,1 unidade,17,4,15,63,,,
Bala de banana,3 unidades,50,12,46,192,,,
Bala de caramelo,1 unidade,6,5,27,113,,,
Bala de caramelo Embare ®,1 unidade,6,5,27,113,,,
Bala de caramelo Embare®,1 unidade,6,5,27,113,,,
Bala de coco,1 unidade,5,5,20,84,,,
Bala de coco (industrializada),1 unidade,5,5,20,84,,,
Bala de coco (industrializada) Junco®,1 unidade,5,5,20,84,,,
Bala de goma,1 unidade,3,3,11,46,,,
Bala de mel Arcor ®,1 unidade,6,6,22,92,,,
Bala de mel Arcor®,1 unidade,6,6,22,92,,,
Bala Delícia,1 unidade,5,4,20,84,,,
Bala Delícia®,1 unidade,5,4,20,84,,,
Bala Fini bananas ®,1 unidade,6,5,21,88,,,
Bala Fini beijos ®,1 unidade,7,6,24,100,,,
Bala Fini dentaduras ®,1 unidade,6,5,21,88,,,
Bala Fini minhoca ®,1 unidade,6,5,21,88,,,
Bala Fini tubinhos ®,1 unidade,6,6,26,109,,,
Bala Halls ®,1 unidade,3,3,13,54,,,
Bala Halls®,1 unidade,3,3,13,54,,,
Bala Jujuba,1 unidade,3,3,12,50,,,
Bala macia,1 unidade,5,5,20,84,,,
Bala mentos mint ®,1 unidade,3,2,10,42,,,
Bala mentos rainbow ®,1 unidade,3,2,9,38,,,
Bala Tic Tac ®,1 caixa,16,16,63,264,,,
Bala Toffe® Chocolate,1 unidade,6,22,151,632,,,
Bala Toffees Chocolate Arcor ®,1 unidade,7,4,31,130,,,
Bala Tofte® Chocolate,1 unidade,6,22,151,632,,,
Bala yogurte ®,1 unidade,5,4,19,79,,,
"Bambu, brotos de",1 pires de chá,10,0,3,13,,,
Banana à milanesa,1 unidade média,100,24,185,774,,,
Banana caramelada,1 unidade média,50,29,114,477,,,
Banana frita da terra,1 fatia média,31,10,68,285,,,
Banana pacova madura cozida sem casca,1 colher de sopa cheia,35,12,48,201,,,
Banana pacova madura frita (picada),1 colher de sopa cheia,35,18,96,402,,,
Banana pacova madura in natura (picada),1 colher de sopa cheia,30,11,45,188,,,
Banana pacova verde frita,1 colher de sopa cheia,35,30,138,577,,,
Banana-caturra ou Nanica,1 unidade média,86,20,79,331,,,
Banana-da-terra crua,1 unidade grande,100,27,117,490,,,
Banana-maçã,1 unidade média,65,17,72,301,,,
Banana-maçã,1 unidade média,65,15,72,301,,,
Banana-ouro,1 unidade média,40,9,42,176,,,
Banana-ouro,1 unidade pequena,40,9,42,176,,,
Banana-prata crua,1 unidade média,40,9,40,167,,,
Banana-prata crua,1 unidade média,50,13,49,205,,,
Bananada,1 unidade media,40,27,115,481,,,
Bananada,1 unidade média,40,27,115,481,,,
Banha de porco,1 colher de sopa cheia,10,0,90,377,,,
Barra de cereais 3 grãos integrais choconut Linea ®,1 unidade,20,11,73,305,,,
Barra de cereais banana com aveia Linea ®,1 unidade,20,13,67,280,,,
Barra de cereais morango com iogurte Linea ®,1 unidade,20,12,63,264,,,
"Barra de cereal Banana, Aveia e Mel Light TAEQ ®",1 unidade,22,14,71,297,,,
Barra de cereal comum (média),1 unidade,25,18,97,406,,,
Barra de cereal diet (média),1 unidade,25,15,67,280,,,
"Barra de Cereal Diet Linea® Avela, Castanha e Chocolate",1 unidade,25,17,75,314,,,
Barra de cereal Diet Linea® banana com aveia,1 unidade,25,18,65,272,,,
Barra de cereal light (média),1 unidade,25,16,75,314,,,
Barra de Cereal Nuts Original Nutry ®,1 unidade,30,11,158,661,,,
Barra de frutas (Supino) ®,1 unidade,24,17,86,360,,,
Barra de frutas proteica (Supino) ®,1 unidade,30,12,86,360,,,
Barra de frutas zero açúcar (Supino) ®,1 unidade,24,17,84,351,,,
Barra de proteínas (média),1 unidade,30,10,100,418,,,
Barra de proteínas plant based (Essential) ®,1 unidade,50,11,183,766,,,
Barra nuts castanhas e sementes (Banana Brasil) ®,1 unidade,25,9,132,552,,,
Barra nuts castanhas e sementes zero açúcar (Banana Brasil) ®,1 unidade,25,9,132,552,,,
"Barra nuts castanhas, cacau e coco (Banana Brasil) ®",1 unidade,25,8,123,515,,,
Batata (Baked Potato),1 unidade,470,83,369,1544,,,
Batata (Baked Potato®),1 unidade,470,83,369,1544,,,
Batata doce frita,1 fatia média,65,39,249,1042,,,
Batata frita (Bob’s®),1 porção grande,115,41,259,1084,,,
Batata frita (Bob’s®),1 porção média,95,34,214,895,,,
Batata frita (Bob’s®),1 porção pequena,55,20,124,519,,,
Batata frita (Burguer King®),1 porção,,37,318,1331,,,
Batata frita (Habib’s®),1 porção pequena,40,10,86,360,,,
Batata frita Burger King ®,1 porção média,0,37,320,1339,,,
Batata frita canoa Bob's ®,1 porção média,0,46,307,1284,,,
Batata frita chips,1 punhado,13,6,70,293,,,
Batata frita Habibs ®,1 porção média,100,33,252,1054,,,
Batata frita palito Bob's ®,1 porção média,0,41,259,1084,,,
Batata fritas (Mc’ Donalds®),1 porção grande,,49,412,1724,,,
Batata fritas (Mc’ Donalds®),1 porção média,,35,288,1205,,,
Batata fritas (Mc’ Donalds®),1 porção pequena,,25,206,862,,,
Batata fritas Mcdonald's ®,1 porção média,0,35,295,1234,,,
Batata fritas McFritas Kids (Mc’ Donalds®),1 porção,,11,87,364,,,
Batata fritas McFritas Kids Mcdonald's ®,1 porção,0,11,87,364,,,
Batata inglesa cozida,1 colher de sopa cheia,30,6,26,109,,,
Batata inglesa cozida,1 colher de sopa cheia picada,80,6,68,285,,,
Batata inglesa frita,1 escumadeira média cheia,65,23,182,761,,,
Batata inglesa fritta,1 escumadeira media cheia,65,23,182,761,,,
Batata inglesa fritta®,1 escumadeira media cheia,65,23,182,761,,,
Batata inglesa Sauté,1 colher de sopa cheia,25,4,37,155,,,
Batata inglesa Saute®,1 colher de sopa cheia,25,4,37,155,,,
Batata palha,1 xícara de chá,30,13,180,753,,,
Batata pringles ®,14 unidades,25,13,131,548,,,
Batata smiles Mccain ®,1 unidade,21,7,42,176,,,
Batata smiles Mccain®,1 unidade,21,7,42,176,,,
Batata-baroa ou mandioquinha (picada),1 colher de sopa,30,5,33,138,,,
Batata-baroa ou mandioquinha (picada),1 colher de sopa cheia,35,10,44,184,,,
Batata-doce amarela assada (picada),1 colher de sopa cheia,30,10,43,180,,,
Batata-doce branca cozida (picada),1 colher de sopa cheia,30,8,38,159,,,
Batata-doce cozida,1 colher sopa cheia,42,10,43,180,,,
"Batata-doce, doce de",1 colher de sopa cheia,40,24,94,393,,,
"Batata, amido de",1 colher de sopa cheia,16,13,53,222,,,
"Batata, fécula de",1 colher de sopa cheia,20,16,66,276,,,
Baton (chocolate ao leite Garoto),1 unidade,16,9,86,360,,,
Baton (chocolate ao leite Garoto®),1 unidade,16,9,86,360,,,
Baton (chocolate ao leite Garoto®),1 unidade,16,"9,2",86,360,,,
Beijinho,1 unidade,25,11,105,439,,,
Beijinho,1 unidade média,25,11,105,439,,,
Beijinho,1 unidade pequena,6,3,25,105,,,
Beijinho diet,1 unidade pequena,6,2,20,84,,,
Beijinho-de-coco Nestlé,1 colher de sopa,20,11,63,264,,,
Beijinho-de-coco Nestle®,1 colher de sopa,20,11,63,264,,,
Beiju,1 unidade media,100,87,359,1502,,,
Beiju,1 unidade média,100,87,359,1502,,,
Beiju com Coco,1 unidade grande,125,77,622,2602,,,
Beiju de queijo com manteiga,1 unidade média,150,87,518,2167,,,
Beirute de frango crocante Habibs ®,1 unidade,553,84,1269,5309,,,
Beirute Habib’s®,1 unidade,415,51,714,2987,,,
Beirute Habibão Habibs ®,1 unidade,636,45,1709,7150,,,
Beirute tradicional de rosbife Habibs ®,1 unidade,418,56,919,3845,,,
Bekleua,1 porção,100,20,290,1213,,,
Bem casado,1 unidade,40,25,160,669,,,
Bergamota ou Mexerica,1 unidade grande,100,15,58,243,,,
Berinjela cozida sem sal,1 colher de sopa cheia,25,2,8,33,,,
Berinjela ensopada,1 escumadeira média rasa,75,6,56,234,,,
Berinjela frita,1 rodela média,13,1,10,42,,,
Bertalha refogada,1 pires,100,4,45,188,,,
Beterraba cozida (picada),1 colher de sopa cheia,20,2,9,38,,,
Beterraba crua,1 colher de sopa cheia,16,1,7,29,,,
Bib's Cebola Caramelizada Habibs ®,1 unidade,266,37,938,3925,,,
Bib's Chicken BBQ Habibs ®,1 unidade,289,59,676,2828,,,
Bib's Classic Burger Habibs ®,1 unidade,276,40,891,3728,,,
Bib’s dog (Habib’s®),1 unidade,105,21,246,1029,,,
Bib’s salad (Habib’s®),1 unidade,300,36,209,874,,,
Bib's salada bacon Habibs ®,1 unidade,271,29,876,3665,,,
Bib'Sfiha Cheddar Burger Habibs ®,1 unidade,296,34,985,4121,,,
Bib'sfiha de Calabresa com mussarela Habibs ®,1 unidade,70,19,186,778,,,
Bib'sfiha de Carne Habibs ®,1 unidade,75,23,193,808,,,
Bib'sfiha de Frango Habibs ®,1 unidade,75,23,180,753,,,
Bib'sfiha de Queijo Habibs ®,1 unidade,70,22,210,879,,,
Bib'Sfiha Salad Burger Habibs ®,1 unidade,327,36,973,4071,,,
Bife à milanesa,1 unidade média,80,8,230,962,,,
Bife à milanesa,1 unidade pequena,80,8,230,962,,,
Bife à parmegiana,1 unidade média,150,13,490,2050,,,
Bife à Rolê,1 unidade grande,150,4,268,1121,,,
Bife de boi,1 unidade média,100,0,228,954,,,
Bife de fígado,1 unidade média,100,6,216,904,,,
Bife Role,1 unidade grande,150,4,268,1121,,,
Big Bob Bob's ®,1 unidade,0,38,509,2130,,,
Big Bob frango Bob's ®,1 unidade,0,38,494,2067,,,
Big Bob picanha 100g (Bob’s®),1 unidade,235,35,513,2146,,,
Big Bob picanha 200g (Bob’s®),1 unidade,344,38,728,3046,,,
Big Bob Veggie Carne ®,1 unidade,0,42,491,2054,,,
Big king (Burguer King®),1 unidade,,31,555,2322,,,
Big king burger king ®,1 unidade,0,149,810,3389,,,
Big mac McDonald's ®,1 unidade,0,41,503,2105,,,
Big tasty (Mc’ Donalds®),1 unidade,,43,841,3519,,,
Big tasty McDonald's ®,1 unidade,0,41,837,3502,,,
Bis,1 unidade,6,4,31,130,,,
Biscoito amanteigado banana e canela,1 unidade,5,4,25,105,,,
Biscoito cream cracker (média),1 unidade,5,4,22,92,,,
Biscoito de água e sal,1 unidade,8,5,34,142,,,
Biscoito de arroz,6 unidades,30,24,113,473,,,
Biscoito de aveia e mel Nestlé ®,1 unidade,6,4,26,109,,,
Biscoito de aveia e mel Nestle®,1 unidade,6,4,26,109,,,
Biscoito de castanha do Pará,1 unidade,9,7,46,192,,,
Biscoito de coco Piraquê ®,1 unidade,5,3,23,96,,,
Biscoito de polvilho (rosquinha),1 unidade,3,2,13,54,,,
Biscoito de queijo,1 unidade,12,6,51,213,,,
Biscoito leite maltado Piraquê ®,1 unidade,5,3,23,96,,,
Biscoito leite Nestlé®,1 unidade,8,5,38,159,,,
Biscoito maçã e canela nesfit ®,1 unidade,5,3,22,92,,,
Biscoito maisena Nestlé ®,1 unidade,5,4,22,92,,,
Biscoito maisena Nestlé®,1 unidade,5,4,22,92,,,
Biscoito maria Nestlé ®,1 unidade,6,4,26,109,,,
Biscoito maria Nestlé®,1 unidade,6,4,26,109,,,
Biscoito milho verde Nestlé®,1 unidade,6,4,27,113,,,
Biscoito passatempo coberto com chocolate Nestlé ®,1 unidade,10,7,46,192,,,
Biscoito passatempo recheio chocolate Nestlé ®,1 unidade,10,8,45,188,,,
Biscoito passatempo recheio doce de leite Nestlé ®,1 unidade,10,7,46,192,,,
Biscoito passatempo recheio morango Nestlé ®,1 unidade,10,8,45,188,,,
Biscoito passatempo sem recheio ®,1 unidade,6,4,22,92,,,
Biscoito passatempo® sem recheio,1 unidade,6,4,22,92,,,
Biscoito prestígio recheado São Luiz Nestlé ®,1 unidade,15,10,71,297,,,
Biscoito prestígio recheado São Luiz Nestlé®,1 unidade,15,10,71,297,,,
Biscoito prestígio wafer Nestlé ®,1 unidade,8,5,43,180,,,
Biscoito prestígio® wafer Nestlé®,1 unidade,8,5,43,180,,,
Biscoito recheado bono chocolate Nestlé ®,1 unidade,10,6,46,192,,,
Biscoito recheado chocolate,1 unidade,13,9,62,259,,,
Biscoito recheado chocolate (média),1 unidade,13,9,62,259,,,
Biscoito salclic aperitivo São Luiz Nestle®,1 unidade,5,3,24,100,,,
Biscoito salgado gergelim Piraquê ®,1 unidade,10,5,32,134,,,
Biscoito salgado integral gergelim Piraquê®,1 unidade,"7,5",5,38,159,,,
Biscoito suíço creme de avelã São Luiz Nestlé®,1 unidade,13,7,73,305,,,
Biscoito tipo cookie gotas de chocolate bauduco ®,1 unidade,10,6,51,213,,,
Biscoito tipo cookie nescau due nestlé ®,1 pacote,20,13,97,406,,,
Biscoito tipo cookies Baunilha Toddy®,1 unidade,10,6,46,192,,,
Biscoito tipo wafer (média),1 unidade,7,5,38,159,,,
Biscoito tostines cream cracker São Luiz Nestlé ®,1 unidade,8,5,37,155,,,
Biscoito tostines cream cracker São Luiz Nestlé®,1 unidade,8,5,37,155,,,
Biscoito tostines leite ®,1 unidade,8,6,37,155,,,
Biscoito tostines® leite,1 unidade,8,6,37,155,,,
Biscoito tostines® recheado Chocolate,1 unidade,13,9,64,268,,,
Biscoito tostines® surpresa fun,1 unidade,8,6,37,155,,,
Biscoito tostines® wafer chocolate,1 unidade,8,5,42,176,,,
Biscoitos de farinha integral,1 unidade,10,7,40,167,,,
Biscoitos de glúten a 40%,1 unidade,10,3,29,121,,,
Biscoitos de glúten puro,1 unidade,10,8,35,146,,,
Biscoitos doces,1 unidade,8,6,33,138,,,
Bisnaguinha pullman ®,1 unidade,20,14,77,322,,,
Bisnaguinha Seven Boys®,1 unidade,20,11,62,259,,,
BK Burger do BK burger king ®,1 unidade,0,31,678,2837,,,
BK Chicken Crispy burger king ®,1 unidade,0,42,406,1699,,,
BK original burger king ®,1 unidade,0,32,714,2987,,,
BK original cheddar burger king ®,1 unidade,0,33,541,2264,,,
BKTM batata suprema (Burguer King®),1 porção,,59,604,2527,,,
BKTM cheddar duplo (Burguer King®),1 unidade,,54,660,2761,,,
BKTM chicken crisp (Burguer King®),1 unidade,,68,667,2791,,,
BKTM chicken crisp furioso (Burguer King®),1 unidade,,80,930,3891,,,
BKTM chicken sandwich (Burguer King®),1 unidade,,53,609,2548,,,
BKTM fish (Burguer King®),1 unidade,,63,573,2397,,,
BKTM grilled chicken (Burguer King®),1 unidade,,56,508,2125,,,
BKTM nuggets (Burguer King®),1 porção,,12,148,619,,,
BKTM pepperoni (Burguer King®),1 unidade,,30,270,1130,,,
BKTM picanha (Burguer King®),1 unidade,,53,922,3858,,,
BKTM stacker triplo com bacon (Burguer King®),1 unidade,,35,1529,6397,,,
Blanquet de peru sadia ®,4 fatias,60,45048,57,238,,,
Blis Frutas Vermelhas,1 unidade,180,29,158,661,,,
Bliss morango,1 unidade,200,31,168,703,,,
Bob's Burgão ®,1 unidade,0,51,779,3259,,,
Bob's Burger ®,1 unidade,0,28,661,2766,,,
Bob's Burger celebrativo ®,1 unidade,0,35,279,1167,,,
Bob's Burger frango ®,1 unidade,0,31,286,1197,,,
Bob's Burger veggie carne ®,1 unidade,0,31,301,1259,,,
Bob's cheddar ®,1 unidade,0,27,267,1117,,,
Bob's costela ®,1 unidade,0,52,725,3033,,,
Bob’s crispy (Bob’s®),1 unidade,251,48,641,2682,,,
Bob’s picanha gourmet 100g (Bob’s®),1 unidade,258,35,480,2008,,,
Bob’s picanha gourmet 200g (Bob’s®),1 unidade,373,36,727,3042,,,
Bob's Premium ®,1 unidade,0,29,845,3535,,,
Bolacha de nata Panco ®,1 unidade,5,4,22,92,,,
Bolacha de nata Panco®,1 unidade,5,4,22,92,,,
Bolacha sabor chocolate trakinas ®,1 unidade,10,8,48,201,,,
Bolacha sabor mais morango Trakinas ®,1 unidade,10,8,49,205,,,
Bolacha sabor mais morango Trakinas®,1 unidade,12,8,61,255,,,
Bolacha sabor meio chocolate ao leite meio chocolate branco trakinas ®,1 unidade,10,8,48,201,,,
Bolinha de queijo,1 unidade pequena,10,3,27,113,,,
Bolinho de aipim com carne seca,1 unidade média,45,12,86,360,,,
Bolinho de arroz,1 unidade,40,20,164,686,,,
Bolinho de bacalhau,1 unidade media,15,3,42,176,,,
Bolinho de bacalhau,1 unidade média,15,3,42,176,,,
Bolinho de bacalhau (Habib’s®),1 unidade,30,5,87,364,,,
Bolinho de bacalhau Habibs ®,1 unidade,30,5,87,364,,,
Bolinho de carne,1 unidade,50,8,67,280,,,
Bolinho de Chuva,1 unidade pequena,30,13,81,339,,,
Bolinho de estudante (Bolinho Ana Maria),1 unidade média,80,49,292,1222,,,
Bolinho de estudante (Bolinho Ana Maria®),1 unidade média,80,49,292,1222,,,
Bolinho de Presunto e Queijo,1 unidade,50,12,73,305,,,
Bolinho de Queijo,1 unidade,50,16,137,573,,,
Bolinho de soja tipo salsicha (Ta'amti) - Albee ®,4 unidades,90,28,232,971,,,
Bolinho de soja tipo salsicha 350g (Ta’amti) - Albee®,4 unidades,90,28,232,971,,,
Bolo alemão,1 fatia,60,30,227,950,,,
Bolo branco simples,1 fatia média,100,55,318,1331,,,
Bolo comum baunilha Dona Benta ®,1 fatia média,60,30,143,598,,,
Bolo comum com glacê e recheio,1 fatia média,100,65,384,1607,,,
Bolo de aipim com coco,1 fatia média,80,37,243,1017,,,
Bolo de aipim Dona Benta ®,1 fatia média,60,33,147,615,,,
Bolo de arroz,1 fatia média,70,39,197,824,,,
Bolo de banana,1 fatia média,70,33,211,883,,,
Bolo de batata-doce,1 fatia média,90,43,292,1222,,,
Bolo de Brigadeiro,1 fatia pequena,50,20,147,615,,,
Bolo de brigadeiro (festa) Amor aos Pedaços®,1 fatia pequena,60,33,211,883,,,
Bolo de brigadeiro Dona Benta ®,1 fatia média,60,28,147,615,,,
Bolo de brigadeiro recheado (doceria/festa),1 fatia pequena,100,55,352,1473,,,
